,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,2700000,200000,26.798874447273217,0.0043877996146068085,0.00032635148954607784,9.338341277812212e-10,7.840609009375124e-09,-20.79172228685327,,-18.551422529761286
1,100.0,1.0,6000000,300000,26.798874447273217,0.014140952362964117,0.00048581480701139287,4.3809502290970875e-09,3.677582497135688e-10,-19.246000188805276,-19.333678907437964,-19.165393155068905
2,100.0,2.0,9600000,400000,26.798874447273217,0.029742437465189543,0.0006473586041704495,8.300747802499746e-09,5.173515109624598e-10,-18.606920229515605,-18.671273052683855,-18.546459487490484
3,80.0,1.0,1100000,100000,28.31657935721365,0.03152933476108299,0.00016270645963445637,2.6561111988400014e-09,2.598032145640719e-10,-19.74640273917549,-19.849336623937234,-19.653082373915215
4,80.0,1.0,900000,100000,28.31657935721365,0.03299179770665189,0.000163072744368354,2.2884700538836114e-09,2.686673218368974e-10,-19.89538234139846,-20.020265987704708,-19.784377416730297
5,70.0,2.0,900000,100000,29.141774734081306,0.034454667408292304,0.00016414371480385275,1.1961147007074257e-09,1.4081657640910603e-10,-20.5441872824149,-20.669442527663943,-20.432888940958044
6,70.0,2.0,800000,100000,29.141774734081306,0.03575364583180906,0.00016246608523244477,1.1067663736666367e-09,1.440880678749296e-10,-20.621823250057865,-20.761301814153178,-20.49943896591505
7,70.0,2.0,800000,100000,29.141774734081306,0.03705361143832321,0.00016229148364929234,1.1477577208394704e-09,1.4869181173732204e-10,-20.585455605886995,-20.72420036437903,-20.463636437602723
8,90.0,1.5,3000000,200000,27.53683051080821,0.04192869242312526,0.00032385461544147566,6.225560851874809e-09,4.6263570807447887e-10,-18.894602301967385,-18.97182065367908,-18.822921571651317
9,90.0,2.0,4000000,300000,27.53683051080821,0.04843457642937862,0.00048243012474820433,7.122246571280647e-09,5.881868262534489e-10,-18.760042631617296,-18.84623738009535,-18.680691438560096
