,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.98,0.333333333,3140143.313,125227.6196,26.80031088360625,0.019541740991193678,0.000783122065715161,2.7748159302036238e-08,9.92437736577229e-09,-17.40009633041215,-17.842732207552412,-17.094334478305807
1,100.01,0.333333333,2755280.231,108351.7908,26.798156286847465,0.03668406088898648,0.000681725198003679,7.005778794039658e-08,4.150484484579575e-09,-16.47394539346376,-16.53501657523857,-16.4163902047802
2,100.01,0.333333333,3014360.406,119663.1336,26.798156286847465,0.05543789119964017,0.0007544304930198652,1.255870663181916e-07,6.785252300182593e-09,-15.890266563388254,-15.945809160622584,-15.837647289181843
3,49.63,2.0,229463.944,20279.17199,30.980853832331622,0.05686573362509936,0.00012583634680859233,1.942461209506482e-09,1.8006975636366323e-10,-20.05931000325217,-20.156594170007995,-19.970656608511355
4,49.63,2.0,226415.9085,22510.94453,30.980853832331622,0.05827437176541448,0.00014049949413832017,1.9650696351761587e-09,2.0420926094236003e-10,-20.047738154504408,-20.15746329834762,-19.948871030556063
5,49.63,2.0,231336.2786,22140.62638,30.980853832331622,0.05971370840175116,0.00013788464678457393,2.0574395400935987e-09,2.0536106860676526e-10,-20.001803568939767,-20.106957330406864,-19.906662583456416
6,59.86,1.833333333,519096.0213,34090.19768,30.029128254406775,0.06294508414298851,0.00021337025995942958,5.235704072157758e-09,3.7611454903349447e-10,-19.067764508418463,-19.142311862863476,-18.998390995044733
7,59.88,1.833333333,523331.6599,32715.53493,30.027324865627723,0.0661998082755313,0.0002048937775607035,5.557548469048656e-09,3.8069267781082686e-10,-19.00810874875195,-19.07906795507662,-18.941852850641382
8,59.88,1.833333333,544562.0335,30394.23717,30.027324865627723,0.06958767377690855,0.00019126143947044926,6.080547316457539e-09,3.780737474370152e-10,-18.918171125865616,-18.982365796761805,-18.85784999953868
9,69.99,1.5,958116.0253,50318.07541,29.14262400186513,0.07554957245976804,0.0003154046233020777,1.3975999679651746e-08,8.258631839652775e-10,-18.08592428703597,-18.146833698476396,-18.02851279493389
10,70.0,1.5,1024302.678,53849.02053,29.141774734081306,0.08192125256766232,0.0003368910789577325,1.6211294153123913e-08,9.512278620453887e-10,-17.937557667672227,-17.99802646699216,-17.88053778310475
11,69.99,1.5,1027000.771,51062.8914,29.14262400186513,0.08831109852721696,0.00032137651938275594,1.7571413397524882e-08,9.788675570201294e-10,-17.856992494185175,-17.914312288187876,-17.80278090221009
12,80.0,1.5,2302097.764,93353.84916,28.31657935721365,0.10262956706744644,0.0005824749160749584,4.780283679724631e-08,2.6429378314530875e-09,-16.85618085198725,-16.913056334917382,-16.80236684729755
