,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.95,0.5,730381.2425,32689.54803,26.802465826856075,0.009606107359215103,0.00042474957923861436,4.0299860126586485e-08,1.395245420543905e-08,-17.026917838804103,-17.451896013820544,-16.72962018493761
1,99.98,1.0,991969.552,43231.80835,26.80031088360625,0.02266276002322551,0.0005662597051388212,9.190153522545888e-08,1.2170769227303845e-08,-16.202548102333022,-16.344610303076237,-16.0781799442463
2,99.99,2.0,1694169.872,52309.70793,26.79959264619178,0.04495354379073208,0.0006816530879244735,1.644254480983276e-07,1.4900777753456794e-08,-15.620808572518206,-15.715804438700577,-15.534059199034878
3,69.93,1.333333333,157279.4489,17919.95351,29.147720648245308,0.04702429994111054,0.00023505439706724158,3.114617136088413e-08,2.4490096662471204e-09,-17.284574509029923,-17.36646761472858,-17.208883202074713
4,69.97,2.666666667,315477.1151,24755.59614,29.14432268594078,0.05117538776759768,0.00032610809134152633,3.33496585461719e-08,5.610524534122234e-09,-17.216218303132788,-17.400421640569743,-17.060725658996923
5,69.97,4.0,350475.868,24132.96537,29.14432268594078,0.05578615800993947,0.0003168192487089045,2.6903649308187695e-08,2.987302975246549e-09,-17.431003897525464,-17.548703664809107,-17.3257100015584
6,90.0,2.0,636562.2286,33303.90159,27.53683051080821,0.06415905650147925,0.0004354663599279255,1.0959551124624942e-07,3.1741886159203666e-09,-16.0264694190536,-16.05585987945541,-15.997918152209971
7,90.0,3.0,819255.973,36956.9935,27.53683051080821,0.07493779775032046,0.0004830146756285435,1.0904987685985962e-07,8.302880709780241e-09,-16.031460473507483,-16.11065345145164,-15.958081416249373
8,99.99,3.0,1564260.944,47658.87702,26.79959264619178,0.0955276708375546,0.0006221642795711794,2.551603641856189e-07,9.305915008259235e-09,-15.181373610290327,-15.218526146130555,-15.14555208264548
9,119.97,1.0,1476580.297,44754.53143,25.437525437525437,0.11495250721593739,0.0005873748548128842,8.921737296006329e-07,1.0415130431797864e-08,-13.929604959204202,-13.941347515488992,-13.9179986917165
10,119.99,2.0,2524956.684,62240.48226,25.436231367960524,0.14818327802142087,0.0008095558820526884,9.536303883617971e-07,5.548163163137874e-08,-13.862989674152928,-13.922930128988586,-13.806439801949233
11,119.99,3.0,3229258.353,75873.33272,25.436231367960524,0.19067748224561165,0.0009844656516246122,1.0470484238512456e-06,4.266504820257537e-08,-13.769535377048676,-13.811136761324581,-13.729595765954905
12,139.98,1.0,2701094.181,73793.5373,24.205455909762062,0.2262255925060953,0.0009598374969116503,3.2324471004854447e-06,3.2261823228813796e-08,-12.642271091326666,-12.652301850691988,-12.632339949680384
