,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.95,0.5,730381.2425,32689.54803,26.802465826856075,0.009611667131579363,0.00042694361820112234,4.477762236287387e-09,7.362707822087046e-09,-19.22414241614032,,-18.25174250740239
1,99.98,1.0,991969.552,43231.80835,26.80031088360625,0.022662512237801847,0.0005661629549971806,1.0211281691717654e-08,6.736245242656972e-10,-18.39977267966924,-18.468017961577566,-18.335888758191977
2,99.99,2.0,1694169.872,52309.70793,26.79959264619178,0.044952384513065616,0.0006817408984768313,1.826949423314751e-08,8.294961283606479e-10,-17.818033149854426,-17.86449952713606,-17.773630363945024
3,69.93,1.333333333,157279.4489,17919.95351,29.147720648245308,0.0470231040726401,0.00023542427584182554,3.4606857067649046e-09,4.080757404346216e-10,-19.48179908636614,-19.60726888558675,-19.370331420611613
4,69.97,2.666666667,315477.1151,24755.59614,29.14432268594078,0.05117696455066967,0.0003258117905850358,3.7055176162413215e-09,3.1116312848562035e-10,-19.413442880469006,-19.501152230168355,-19.332809960772728
5,69.97,4.0,350475.868,24132.96537,29.14432268594078,0.05578775988157237,0.00031776380421810236,2.989294367576411e-09,2.2223490011752794e-10,-19.628228474861682,-19.705480644699676,-19.556518605869165
6,90.0,2.0,636562.2286,33303.90159,27.53683051080821,0.06416339930192595,0.0004355234135360573,1.2177279027361047e-08,7.089474736352911e-10,-18.223693996389823,-18.28367637813587,-18.167106809091536
7,90.0,3.0,819255.973,36956.9935,27.53683051080821,0.0749467113944776,0.0004869600039623937,1.2116652984428847e-08,6.185476858994906e-10,-18.228685050843705,-18.281083571800696,-18.17889597125175
8,99.99,3.0,1564260.944,47658.87702,26.79959264619178,0.09553029528309923,0.0006295772240554196,2.8351151576179877e-08,1.047541901682981e-09,-17.378598187626547,-17.416246920987078,-17.342315603117715
9,119.97,1.0,1476580.297,44754.53143,25.437525437525437,0.11495996876589097,0.000586528232353507,1.0818831792012328e-07,3.862745859122389e-09,-16.03939244382945,-16.075749327033066,-16.00431114295386
10,119.99,2.0,2524956.684,62240.48226,25.436231367960524,0.14817785471794392,0.0008014544733806593,1.1842233607989608e-07,3.5288784249677485e-09,-15.949008482965105,-15.979260593182541,-15.919644753294598
11,119.99,3.0,3229258.353,75873.33272,25.436231367960524,0.19066888361672021,0.0009750028432434318,1.3466352766562562e-07,3.759898318193404e-09,-15.820486557338711,-15.84880443830772,-15.792948545197323
12,139.98,1.0,2701094.181,73793.5373,24.205455909762062,0.22621206771728208,0.0009537548549625089,4.314620575794748e-07,1.3214548929438559e-08,-14.656086261738778,-14.687192453702034,-14.625918545920467
13,139.99,2.0,4226336.68,91972.29513,24.204870019847995,0.2818288068327479,0.0011664121377576698,4.3111482822037303e-07,1.0637065611593496e-08,-14.656891359541824,-14.681874242145142,-14.63251743864325
14,139.99,3.0,4746448.666,96002.40001,24.204870019847995,0.3442744726147882,0.0012205291836121569,4.2421891996839e-07,9.67266265110236e-09,-14.673016194281947,-14.696081270727223,-14.650471143686136
15,159.89,1.0,3521459.111,80177.61199,23.092554960280808,0.3906140846510062,0.001025942843175098,1.1806147577098088e-06,2.911625830349562e-08,-13.649475274040235,-13.674446420850817,-13.625112523883564
16,159.99,2.0,4930695.069,95831.49604,23.087223530498225,0.45548278722233554,0.0012302803564354986,1.0228747057237128e-06,2.1909057952017208e-08,-13.792893555794166,-13.814545376130457,-13.771700618671591
17,159.99,3.0,5206959.663,107510.4343,23.087223530498225,0.5240097033467208,0.001360075281231764,9.171846622274956e-07,1.9996027223663667e-08,-13.901957008488553,-13.923999701563119,-13.880389735037253
18,179.97,1.0,3352792.422,81155.04075,22.06920903954802,0.5681240515422755,0.001041450918424075,2.160094090630833e-06,5.431159385227247e-08,-13.045358776739693,-13.070823427468943,-13.02052650447293
19,179.98,2.0,4673000.739,93880.72053,22.068722000308963,0.6296173553347377,0.0012015030277886447,1.819525568826233e-06,3.8233732543303645e-08,-13.21693476732669,-13.238171706169236,-13.196139473128452
20,179.96,3.0,4463598.199,103270.912,22.0696961002847,0.6883492697496941,0.0013058401053944561,1.4474545754947814e-06,3.357066098565924e-08,-13.445704009342421,-13.46917009109547,-13.422775982661443
21,199.97,1.0,2688002.411,59872.03342,21.13628677713899,0.7237085088569297,0.0007748650033441093,3.143728957522184e-06,7.294272878707244e-08,-12.67010089655307,-12.693576928588138,-12.647163370772057
22,199.99,2.0,3585876.073,81622.03162,21.135393329669867,0.7708931600925181,0.0010528190999168452,2.507837789861148e-06,5.8501458317524775e-08,-12.896089614374109,-12.919693455187865,-12.873030091554607
