,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,1.32e-14,5.25e-16,13.828389684021296,0.0025333325632353218,0.00010046778140458775,5.181446463929325e-10,2.338482407648493e-08,-21.38076667250854,,-17.549263171376555
1,450,0.366666667,6.09e-15,3.17e-16,13.828389684021296,0.003701865686701814,6.11756445048425e-05,4.814154021184908e-10,3.3772102235417956e-11,-21.454290596661618,-21.527024406271746,-21.386490195403987
2,500,0.25,2.16e-14,2.53e-16,12.934100756644895,0.007844996848030632,4.842292850135152e-05,4.638636419493226e-09,1.1941225947658812e-10,-19.188845389007216,-19.21492550384915,-19.163428194144924
3,500,0.366666667,1.77e-14,3.52e-16,12.934100756644895,0.011241188309859181,6.711801819670207e-05,4.28412387284318e-09,1.1481085197739913e-10,-19.268349769549445,-19.29551455790501,-19.24190343333039
4,550,0.316666667,5.35e-14,2.62e-16,12.148454109214603,0.021504555357993747,5.000099763935634e-05,2.5725182993688016e-08,2.745407982413912e-10,-17.47579544179434,-17.486524860655408,-17.465179922368687
5,550,0.366666667,3.01e-14,3.56e-16,12.148454109214603,0.027278331288633193,6.77977062790809e-05,1.862222952200912e-08,2.6932624438802496e-10,-17.798909834241396,-17.81347805819669,-17.784550799565615
6,600,0.25,6.64e-14,3.24e-16,11.452785890167783,0.040016362537253665,6.185312212829865e-05,8.311651053510838e-08,6.144254514833776e-10,-16.303022472086855,-16.310442270184243,-16.295657322163724
7,600,0.266666667,4.45e-14,4.22e-16,11.452785890167783,0.048553965606616095,8.016352669033346e-05,6.873164638508011e-08,7.504815423364694e-10,-16.493056097711904,-16.504035157745168,-16.482196269568444
8,650,0.266666667,1.16e-13,4.37e-16,10.832475762335482,0.07080720866858324,8.231963262310167e-05,2.414513903668296e-07,1.2709668385418872e-09,-15.236597666238678,-15.241875431336764,-15.23134760976937
9,650,0.366666667,7.91e-14,3.16e-16,10.832475762335482,0.0859820223517894,6.048768522189361e-05,1.5728971716250166e-07,7.75436578490169e-10,-15.665176399886706,-15.670118581391115,-15.660258523469395
10,700,0.316666667,1.65e-13,3.65e-16,10.275908133381288,0.11763533617192358,6.942965347678325e-05,5.371127282994382e-07,1.7292158934857596e-09,-14.437057842122837,-14.4402825012429,-14.433843548014536
11,700,0.383333333,7.91e-14,3.16e-16,10.275908133381288,0.1328100567600798,6.041964021059676e-05,2.6691805731832314e-07,1.2095995163167111e-09,-15.136324127079545,-15.14086615253821,-15.131802638372841
12,750,0.333333333,1.26e-13,3.37e-16,9.773737966085129,0.15698204442053787,6.43456780032127e-05,5.760316631640013e-07,1.8572623571561328e-09,-14.367103206990521,-14.370332652616828,-14.363884157119747
13,750,0.366666667,7.89e-14,3.04e-16,9.773737966085129,0.17211861453124452,5.7821631602122465e-05,3.7912890190197766e-07,1.5954277821783572e-09,-14.785389579129163,-14.789606599023534,-14.781190267840174
14,800,0.3,1.1e-13,2.44e-16,9.318361831989936,0.1932204424187492,4.7240905919007414e-05,7.296152682152282e-07,1.956679737534033e-09,-14.13074847157517,-14.133433870622726,-14.128070264586421
15,800,0.333333333,6.14e-14,2.75e-16,9.318361831989936,0.20499991503983958,5.2345800309096034e-05,4.058336781962697e-07,1.9049836834889755e-09,-14.717322420893202,-14.722027473293736,-14.712639402380619
16,825,0.25,5.27e-14,2.27e-16,9.106224104175203,0.21510959225632406,4.337021823208088e-05,4.952394671087413e-07,2.2356205039233035e-09,-14.518224419420786,-14.52274886049031,-14.513720356751989
17,850,0.266666667,6.58e-14,2.39e-16,8.903530249744023,0.2277322895829901,4.567046809203809e-05,6.180190364665754e-07,2.382589130017888e-09,-14.29674657661916,-14.300609230534569,-14.292898785407948
18,875,0.25,7.24e-14,2.08e-16,8.70966337151069,0.24162111079770282,3.9906564965605434e-05,7.79124153443094e-07,2.4372664828043824e-09,-14.065095428366238,-14.068228544680853,-14.0619720978175
19,900,0.25,8.01e-14,1.84e-16,8.524059156970548,0.256987672846893,3.5605429220804355e-05,9.295849178219423e-07,2.410089678006813e-09,-13.888527675354368,-13.89112369353795,-13.88593837903488
20,925,0.25,9.32e-14,2.3e-16,8.346200392271419,0.2748672303729056,4.417068166121315e-05,1.1740387544648297e-06,3.1871925744354753e-09,-13.655060826485807,-13.657779243219355,-13.65234977951224
21,950,0.25,1.07e-13,1.91e-16,8.175612148959653,0.29539431763664936,3.706307687193604e-05,1.4753507618934106e-06,3.0862505356826467e-09,-13.426614791770042,-13.428708858584994,-13.424525100908971
22,975,0.25,1.39e-13,2.11e-16,8.011857549172776,0.32206021121276024,4.105699255444966e-05,2.130242588193064e-06,3.9172992769885855e-09,-13.059274693557594,-13.061115284614049,-13.057437484053475
23,1000,0.25,1.66e-13,1.98e-16,7.854534029768684,0.3539056156244156,3.966597349521324e-05,2.8805037863082016e-06,4.487659863075378e-09,-12.757545353312695,-12.759104510873236,-12.755988622940572
24,1025,0.25,2.05e-13,3.61e-16,7.703270038131186,0.3932331342762548,6.942995592202451e-05,4.104797825723809e-06,8.252243594305652e-09,-12.403354067009936,-12.405366480335148,-12.401345695359955
25,1050,0.25,2.41e-13,2.23e-16,7.557722102558288,0.4394664247028587,4.587774148775101e-05,5.682707095141048e-06,7.602459872319931e-09,-12.078082837512293,-12.07942155683397,-12.076745907964302
