,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,1.32e-14,5.25e-16,13.828389684021296,0.0025328137031920936,0.00010055304302642868,4.663087118775435e-09,1.3985585050993936e-10,-19.18358813630624,-19.214039216149327,-19.154036988311866
1,450,0.366666667,6.09e-15,3.17e-16,13.828389684021296,0.003700840429137675,6.0622108354661123e-05,4.332539139459593e-09,3.013425930491951e-10,-19.257112060459317,-19.32920259527755,-19.189870932947542
2,500,0.25,2.16e-14,2.53e-16,12.934100756644895,0.007844660953733998,4.818111792554192e-05,4.174580570696119e-08,1.0700042191413576e-09,-16.991666852804915,-17.017632479356408,-16.966358411769857
3,500,0.366666667,1.77e-14,3.52e-16,12.934100756644895,0.011240278182596403,6.744631569890328e-05,3.855533968316584e-08,1.0305305699718879e-09,-17.071171233347144,-17.09826354636337,-17.0447935941479
4,550,0.316666667,5.35e-14,2.62e-16,12.148454109214603,0.021503616199788994,5.027875249956049e-05,2.3151598743922435e-07,2.4648102713643046e-09,-15.278616905592036,-15.28932037727799,-15.268026786021764
5,550,0.366666667,3.01e-14,3.56e-16,12.148454109214603,0.027277919334257307,6.81061299197624e-05,1.6759234937864785e-07,2.4144925502485822e-09,-15.601731298039095,-15.616243023412517,-15.587427154065457
6,600,0.25,6.64e-14,3.24e-16,11.452785890167783,0.040014686348610294,6.187081954146445e-05,7.480141546032831e-07,5.521637657769588e-09,-14.105843935884556,-14.113253044508202,-14.098489318666205
7,600,0.266666667,4.45e-14,4.22e-16,11.452785890167783,0.04855084719505445,7.983984730426593e-05,6.185563377749242e-07,6.7469265706841266e-09,-14.2958775615096,-14.306845022536153,-14.285029081939626
8,650,0.266666667,1.16e-13,4.37e-16,10.832475762335482,0.07080394093982656,8.23420688484681e-05,2.172962465342457e-06,1.1409733420094441e-08,-13.039419130036377,-13.044683737150939,-13.034182093922746
9,650,0.366666667,7.91e-14,3.16e-16,10.832475762335482,0.0859777870290517,5.975407150740303e-05,1.415542279790498e-06,6.948814538852984e-09,-13.467997863684404,-13.472918893825442,-13.463100931542428
10,700,0.316666667,1.65e-13,3.65e-16,10.275908133381288,0.11763064490730292,6.926534807805517e-05,4.440168122831403e-06,1.3696425339229946e-08,-12.324818316734452,-12.327907747795297,-12.321738400868892
11,700,0.383333333,7.91e-14,3.16e-16,10.275908133381288,0.13280509423768952,5.9718645133049216e-05,2.1628033951203668e-06,9.559069738857147e-09,-13.04410530965971,-13.048534864654334,-13.039695289125369
12,750,0.333333333,1.26e-13,3.37e-16,9.773737966085129,0.15697688892145326,6.399301660744771e-05,4.584399455125998e-06,1.4273070508375952e-08,-12.292851441177813,-12.295969698163182,-12.289742877500677
13,750,0.366666667,7.89e-14,3.04e-16,9.773737966085129,0.1721128193777579,5.750455336573611e-05,2.9637267031743296e-06,1.2210525722395012e-08,-12.729063060188384,-12.733191561185674,-12.724951533656494
14,800,0.3,1.1e-13,2.44e-16,9.318361831989936,0.19321456857961827,4.706830947623761e-05,5.606243590437852e-06,1.4275453824420715e-08,-12.091629654428635,-12.0941792510795,-12.089086541692987
15,800,0.333333333,6.14e-14,2.75e-16,9.318361831989936,0.2049932305747579,5.272141129693234e-05,3.069855059556813e-06,1.4243867787338524e-08,-12.693880209350429,-12.698530922578271,-12.689251025169316
16,825,0.25,5.27e-14,2.27e-16,9.106224104175203,0.21510271227951694,4.339129480295899e-05,3.7062767512141156e-06,1.650640907597365e-08,-12.505482756360896,-12.50994633975164,-12.501039008044117
17,850,0.266666667,6.58e-14,2.39e-16,8.903530249744023,0.22772501653871252,4.5597105183812185e-05,4.573107235019117e-06,1.7311741707507235e-08,-12.295317663963662,-12.299110400719638,-12.291539257725018
18,875,0.25,7.24e-14,2.08e-16,8.70966337151069,0.24161350942714613,3.986202030572553e-05,5.688593494855928e-06,1.73025508155467e-08,-12.077047529335523,-12.080093786414773,-12.07401052376313
19,900,0.25,8.01e-14,1.84e-16,8.524059156970548,0.2569793583406402,3.541264745161118e-05,6.6858876800290295e-06,1.6604271763806628e-08,-11.915511569385217,-11.917998138850995,-11.913031167613916
20,925,0.25,9.32e-14,2.3e-16,8.346200392271419,0.2748586585483761,4.432507435486454e-05,8.298041117519827e-06,2.1763033197115636e-08,-11.69949108095382,-11.70211719734985,-11.696871842985507
21,950,0.25,1.07e-13,1.91e-16,8.175612148959653,0.2953855015732393,3.724141342910518e-05,1.0214667681168433e-05,2.0182442190933836e-08,-11.491685862659667,-11.493663646730251,-11.489711982499092
