,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,1.32e-14,5.25e-16,13.828389684021296,0.0025323849095005035,0.00010086693179178253,4.663301817536393e-09,6.341082195045584e-10,-19.18354209517232,-19.329699580754404,-19.05604780808396
1,450,0.366666667,6.09e-15,3.17e-16,13.828389684021296,0.0037011842772563504,6.065715784118802e-05,4.332738619066417e-09,3.690936051382261e-10,-19.2570660193254,-19.346101776979097,-19.17531356925914
2,500,0.25,2.16e-14,2.53e-16,12.934100756644895,0.007844941451695299,4.862041929024668e-05,4.174772777543903e-08,7.317173324639527e-10,-16.991620811670998,-17.009303347857696,-16.974245522529703
3,500,0.366666667,1.77e-14,3.52e-16,12.934100756644895,0.01124088992445772,6.752552078321718e-05,3.855711485558862e-08,1.5223102977085879e-09,-17.071125192213227,-17.11140770272257,-17.03240272275526
4,550,0.316666667,5.35e-14,2.62e-16,12.148454109214603,0.021504023320643145,5.004585717108193e-05,2.3152664694319214e-07,2.1363572006617455e-09,-15.27857086445812,-15.287840962081079,-15.26938591283749
5,550,0.366666667,3.01e-14,3.56e-16,12.148454109214603,0.027278557503442043,6.78474739354619e-05,1.676000656980821e-07,2.7947217123665013e-09,-15.601685256905176,-15.618500792898997,-15.585147813333357
6,600,0.25,6.64e-14,3.24e-16,11.452785890167783,0.04001728390831721,6.129830576978214e-05,7.480485948159754e-07,3.7659601091018365e-09,-14.105797894750637,-14.110844988892792,-14.100776145901214
7,600,0.266666667,4.45e-14,4.22e-16,11.452785890167783,0.04855395107094793,8.027649447057695e-05,6.18584817465721e-07,7.188647464891805e-09,-14.295831520375684,-14.307520691819358,-14.28427740844728
8,650,0.266666667,1.16e-13,4.37e-16,10.832475762335482,0.07080804262739648,8.260648126450079e-05,2.173062513301466e-06,1.1396614708501636e-08,-13.03937308890246,-13.044631384179553,-13.03414229872768
9,650,0.366666667,7.91e-14,3.16e-16,10.832475762335482,0.0859819348174872,6.0362056153045425e-05,1.415607454462515e-06,9.575118837721647e-09,-13.467951822550486,-13.474738766529594,-13.461210630836332
